Time [mS], AccX [mg], AccY [mg], AccZ [mg], GyroX [mdps], GyroY [mdps], GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss],P [mB],T ['C]
2029, 115, -1085, 34, -80692, 6825, 3220, -283, -211, -381, 964.82, 31.20
2030, -15, -1007, 90, -60322, -927, 16170, -282, -213, -379, 964.82, 31.20
2031, -32, -1004, 95, -48527, 4865, 13510, -277, -213, -379, 964.82, 31.20
2032, -50, -979, 115, -57452, 9205, 3185, -282, -208, -376, 964.82, 31.20
2033, 15, -997, 108, -73587, 1330, -612, -280, -211, -367, 964.85, 31.20
2034, 3, -993, 13, -75337, -3972, -822, -277, -207, -358, 964.85, 31.20
2035, -1, -991, 26, -71925, -8960, -1067, -282, -205, -354, 964.85, 31.20
2036, 10, -997, 28, -68460, -6160, -1522, -279, -205, -351, 964.85, 31.20
2037, 14, -997, 33, -67042, -2397, -1365, -277, -199, -348, 964.85, 31.20
2038, 16, -1003, 2, -65572, -997, -997, -280, -195, -340, 964.85, 31.20
2039, 11, -997, -39, -61180, 210, -297, -277, -196, -337, 964.85, 31.20
2040, 1, -999, -46, -50697, 682, -1365, -277, -193, -331, 964.85, 31.20
2041, 7, -1003, -68, -45552, 735, -1505, -277, -189, -327, 964.84, 31.20
2042, 10, -1004, -55, -40180, 612, -1347, -280, -190, -330, 964.84, 31.20
2043, 6, -1003, -71, -35875, 542, -1592, -279, -192, -325, 964.84, 31.20
2044, 12, -1004, -101, -29662, 350, -1750, -274, -192, -318, 964.84, 31.20
2045, 19, -1007, -120, -20580, 0, -1120, -277, -186, -316, 964.85, 31.20
2046, 11, -1004, -84, -10080, -87, -647, -282, -184, -310, 964.85, 31.20
2047, 12, -1003, -71, -5320, -87, -542, -282, -186, -313, 964.85, 31.20
2048, 8, -1003, -55, -2117, -70, -542, -282, -190, -318, 964.85, 31.20
2049, 9, -1004, -53, 175, -87, -665, -280, -190, -316, 964.86, 31.20
2050, 10, -1004, -52, 2275, -70, -805, -280, -183, -315, 964.86, 31.20
2051, 11, -1003, -54, 4410, -35, -665, -277, -183, -318, 964.86, 31.20
2052, 12, -1004, -60, 9415, 35, -437, -274, -187, -318, 964.86, 31.20
2053, 11, -1004, -38, 11742, 0, -245, -274, -189, -321, 964.84, 31.20
2054, 11, -1004, -32, 12530, 35, -105, -274, -187, -327, 964.84, 31.20
2055, 12, -1003, -15, 12652, 35, -17, -277, -186, -321, 964.84, 31.20
2056, 10, -1004, -13, 11847, 35, 52, -276, -184, -324, 964.84, 31.20
2057, 10, -1003, -14, 10885, -70, -175, -276, -184, -328, 964.80, 31.20
2058, 9, -1003, -11, 10342, -122, -245, -276, -184, -325, 964.80, 31.20
2059, 10, -1003, 0, 9397, -192, -297, -276, -192, -325, 964.80, 31.20
2060, 10, -1003, -1, 7980, -105, -297, -274, -195, -327, 964.80, 31.20
2061, 10, -1004, 3, 6685, -87, -315, -277, -192, -328, 964.82, 31.20
2062, 9, -1003, 1, 5145, -70, -297, -285, -183, -324, 964.82, 31.20
2063, 9, -1004, 5, 2310, 0, -420, -286, -181, -327, 964.82, 31.20
2064, 11, -1003, 3, 875, 17, -385, -283, -193, -331, 964.82, 31.20
2065, 11, -1004, 0, -140, 35, -280, -280, -198, -325, 964.86, 31.20
2066, 11, -1004, 1, -1085, -35, -262, -277, -193, -321, 964.86, 31.20
2067, 9, -1003, 4, -2537, 0, -245, -276, -189, -321, 964.86, 31.20
2068, 11, -1004, -5, -3342, 52, -315, -271, -190, -328, 964.86, 31.20
2069, 10, -1005, -5, -3535, 17, -367, -276, -190, -330, 964.86, 31.20
2070, 10, -1004, -9, -4165, -17, -385, -277, -193, -324, 964.86, 31.20
2071, 10, -1004, -10, -4217, 17, -367, -276, -195, -322, 964.86, 31.20
2072, 10, -1004, -17, -4252, -35, -280, -280, -193, -324, 964.86, 31.20
2073, 9, -1002, -15, -3955, -52, -245, -279, -195, -318, 964.85, 31.20
2074, 10, -1003, -17, -3867, -35, -245, -276, -187, -318, 964.85, 31.20
2075, 10, -1004, -5, -4060, 35, -262, -277, -187, -325, 964.85, 31.20
2076, 10, -1004, -18, -4480, 17, -157, -279, -189, -322, 964.85, 31.20
2077, 10, -1003, -17, -4200, 70, -210, -277, -187, -319, 964.85, 31.20
2078, 9, -1004, -26, -3762, -35, -192, -276, -189, -322, 964.85, 31.20
2079, 9, -1004, -25, -2922, 52, -175, -276, -193, -322, 964.85, 31.20
2080, 9, -1003, -24, -2327, 35, -297, -280, -195, -322, 964.85, 31.20
2081, 9, -1003, -19, -490, 0, -367, -279, -192, -318, 964.85, 31.20
2082, 9, -1003, -30, 35, -52, -402, -279, -192, -316, 964.85, 31.20
2083, 10, -1004, -26, 1032, -52, -402, -279, -187, -328, 964.85, 31.20
2084, 11, -1004, -26, 1662, -35, -332, -277, -183, -331, 964.85, 31.20
2085, 10, -1004, -23, 2467, -35, -262, -280, -183, -324, 964.82, 31.20
2086, 10, -1004, -12, 2257, -105, -140, -280, -186, -324, 964.82, 31.20
2087, 9, -1004, -24, 2905, -140, -175, -283, -192, -324, 964.82, 31.21
2088, 10, -1004, -27, 3867, -122, -210, -282, -187, -325, 964.82, 31.21
2089, 9, -1003, -27, 5005, -122, -262, -277, -186, -324, 964.81, 31.21
2090, 10, -1004, -30, 6387, -175, -245, -279, -190, -324, 964.81, 31.21
2091, 10, -1004, -33, 8067, -210, -192, -277, -190, -325, 964.81, 31.21
2092, 10, -1004, -33, 11497, -262, -35, -279, -186, -325, 964.81, 31.21
2093, 9, -1004, -27, 13615, -332, 52, -283, -183, -327, 964.80, 31.21
2094, 8, -1004, -29, 15592, -315, -52, -282, -186, -328, 964.80, 31.21
2095, 10, -1004, -26, 17832, -262, -122, -280, -189, -331, 964.80, 31.21
