Qi,Qj,Qk,Qs,,,,,,,,,
-0.053601,-0.035275,0.758836,0.648113,,,,,,,,,
-0.069276,-0.045881,0.758926,0.645854,,,,,,,,,
-0.085935,-0.056441,0.758114,0.643967,,,,,,,,,
-0.103166,-0.065555,0.756205,0.642817,,,,,,,,,
-0.120885,-0.076106,0.753197,0.642098,,,,,,,,,
-0.138532,-0.087579,0.749296,0.641634,,,,,,,,,
-0.148806,-0.094729,0.745737,0.642464,,,,,,,,,
-0.157552,-0.102424,0.741760,0.643800,,,,,,,,,
-0.165493,-0.108857,0.737363,0.645801,,,,,,,,,
-0.171372,-0.111596,0.734046,0.647576,,,,,,,,,
-0.177332,-0.114704,0.731363,0.648463,,,,,,,,,
-0.186447,-0.123323,0.727215,0.648989,,,,,,,,,
-0.198496,-0.134405,0.722673,0.648289,,,,,,,,,
-0.209445,-0.146153,0.718513,0.646924,,,,,,,,,
-0.216604,-0.156741,0.714419,0.646623,,,,,,,,,
-0.219882,-0.161154,0.712376,0.646686,,,,,,,,,
-0.221479,-0.162256,0.711209,0.647149,,,,,,,,,
-0.225054,-0.166893,0.708392,0.647826,,,,,,,,,
-0.232710,-0.175177,0.703554,0.648206,,,,,,,,,
-0.237879,-0.178870,0.702068,0.646931,,,,,,,,,
-0.239098,-0.181421,0.702242,0.645581,,,,,,,,,
-0.236327,-0.179431,0.704784,0.644386,,,,,,,,,
-0.231792,-0.174530,0.707988,0.643867,,,,,,,,,
-0.228056,-0.173005,0.708635,0.644900,,,,,,,,,
-0.224839,-0.172537,0.709673,0.645013,,,,,,,,,
-0.220671,-0.170784,0.712139,0.644201,,,,,,,,,
-0.215842,-0.165888,0.715737,0.643128,,,,,,,,,
-0.207643,-0.156570,0.720667,0.642658,,,,,,,,,
-0.197448,-0.148295,0.726716,0.641020,,,,,,,,,
-0.186122,-0.141481,0.732426,0.639448,,,,,,,,,
-0.177372,-0.138071,0.736708,0.637759,,,,,,,,,
-0.168705,-0.133567,0.740844,0.636277,,,,,,,,,
-0.158915,-0.126051,0.745279,0.635150,,,,,,,,,
-0.145917,-0.115469,0.750462,0.634179,,,,,,,,,
-0.129945,-0.102595,0.755714,0.633629,,,,,,,,,
-0.111297,-0.090862,0.760711,0.632990,,,,,,,,,
